name,address,gu
강남YMCA점,서울 강남구 논현동,강남구
강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구
강남논현학동점,서울 강남구 논현로131길 28 (논현동),강남구
강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구
강남도산점,서울 강남구 도산대로37길 20 (신사동),강남구
강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구
강남자곡점,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",강남구
개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구
건설회관점,서울 강남구 언주로 711 (논현동),강남구
대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구
도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구
도산사거리점,서울 강남구 논현동 ,강남구
삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구
삼성동점,서울 강남구 테헤란로88길 10 (대치동),강남구
삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구
삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),강남구
선릉사거리점,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩)",강남구
선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구
선정릉역점,서울 강남구 봉은사로 326 (역삼동),강남구
수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",강남구
신사역점,서울 강남구 압구정로2길 62 (신사동),강남구
신사점,서울 강남구 도산대로 118 (논현동),강남구
압구정로데오역점,서울 강남구 선릉로161길 20 (신사동),강남구
역삼더블루점,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",강남구
역삼상록점,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)",강남구
역삼역점,서울 강남구 테헤란로25길 17 (역삼동),강남구
역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구
역삼점,서울 강남구 논현로72길 13 (역삼동),강남구
역삼중앙점,서울 강남구 언주로81길 8 (역삼동),강남구
역삼충현점,서울 강남구 논현로98길 7 (역삼동),강남구
역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구
을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),강남구
이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구
일원동점,서울 강남구 양재대로27길 20 (일원동),강남구
청담사거리점,서울 강남구 도산대로 521 (청담동),강남구
청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구
포이사거리점,서울 강남구 개포로 218 (개포동),강남구
학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구
학동제마점,서울 강남구 학동로34길 22 (논현동),강남구
한티역점,서울 강남구 도곡로69길 8 (대치동),강남구
가오리역점,서울 강북구 삼각산로 108 (수유동),강북구
강북경찰서점,서울 강북구 오패산로 403 (번동),강북구
광산사거리점,"서울 강북구 노해로 91 (수유동, 진흥빌딩)",강북구
미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구
미아삼거리역점,서울 강북구 도봉로10길 28 (미아동),강북구
미아삼거리점,"서울 강북구 도봉로 45 (미아동, 숭인시장)",강북구
미아송천점,서울 강북구 삼양로 118 (미아동),강북구
미아역점,서울 강북구 도봉로 207 -3(미아동),강북구
미아중앙점,서울 강북구 도봉로 128 (미아동),강북구
번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구
북한산점,서울 강북구 4.19로 85 (수유동),강북구
삼각산점,서울 강북구 솔샘로40길 3 (미아동),강북구
수유1동점,서울 강북구 삼양로 293 (수유동),강북구
수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구
수유역점,서울 강북구 도봉로 355 (수유동),강북구
우이역도선사점,서울 강북구 삼양로173길 21 (우이동),강북구
